date,close,volume,nbdi
2016-01-01,435.4,3276.70962113,114.1595
2016-01-02,431.91,3904.33531811,114.1595
2016-01-03,433.85,5894.44572317,114.1595
2016-01-04,433.34,5150.10947569,114.1595
2016-01-05,430.87,5476.95995944,114.2649
2016-01-06,459.07,13907.20172902,114.6177
2016-01-07,454.44,8347.0950396,114.6516
2016-01-08,450.38,4247.63965095,115.0095
2016-01-09,449.99,3954.32239952,115.0095
2016-01-10,449.19,5597.63718315,115.0095
2016-01-11,434.01,6596.94545292,115.0139
2016-01-12,432.77,9009.15070912,115.3128
2016-01-13,430.03,5673.63296245,115.1425
2016-01-14,357.53,28641.67358553,115.3846
2016-01-15,388.7,17985.23878449,115.7404
2016-01-16,378.46,8278.40179348,115.7404
2016-01-17,384.89,8711.45975604,115.7404
2016-01-18,375.27,8133.36701034,115.7404
2016-01-19,418.54,13874.69165931,115.8155
2016-01-20,409.38,8739.16341887,116.3498
2016-01-21,382.9,13430.10303924,115.9833
2016-01-22,387.5,6310.0300222,115.9833
2016-01-23,403.05,3550.83177183,115.9833
2016-01-24,391.4,6491.99981186,115.9833
2016-01-25,391.54,6981.00990035,115.9833
2016-01-26,394.79,6324.16419027,115.9833
2016-01-27,379.61,9103.71549887,115.5087
2016-01-28,378.68,12105.31043689,115.2224
2016-01-29,378.46,4154.2964224,115.5731
2016-01-30,367.95,5506.77681302,115.5731
2016-01-31,371.33,7931.22922922,115.5731
2016-02-01,372.93,6856.21815799,115.3331
2016-02-02,368.87,7147.95657328,115.553
2016-02-03,387.99,8887.7572324,114.6144
2016-02-04,384.5,7443.92933224,113.6012
2016-02-05,375.44,6276.66473729,114.2935
2016-02-06,377.49,4164.50911131,114.2935
2016-02-07,371.14,7094.20857777,114.2935
2016-02-08,372.68,8424.5942075,114.4351
2016-02-09,378.44,9736.03682475,114.127
2016-02-10,378.23,10413.06371586,114.2877
2016-02-11,382.05,6162.21762337,114.1845
2016-02-12,391.0,5978.85647171,114.2992
2016-02-13,406.59,7557.25485027,114.2992
2016-02-14,398.95,6568.48538284,114.2992
2016-02-15,407.42,5649.43557069,114.2992
2016-02-16,415.2,8707.1340027,114.4905
2016-02-17,421.19,6518.6376118,113.8634
2016-02-18,420.72,5800.21753183,113.8897
2016-02-19,437.46,9368.59512888,113.9558
2016-02-20,438.56,7111.14458641,113.9558
2016-02-21,437.55,5131.79988328,113.9558
2016-02-22,419.97,9159.03224463,113.8232
2016-02-23,423.94,7232.28236528,114.177
2016-02-24,423.54,6049.81811526,114.1716
2016-02-25,430.85,6782.03746528,113.9222
2016-02-26,433.12,5520.65526894,114.3708
2016-02-27,433.73,5149.93009024,114.3708
2016-02-28,436.44,7578.8900694,114.3708
2016-02-29,433.08,7580.23306278,114.2418
2016-03-01,420.39,7437.60843525,113.9265
2016-03-02,418.8,11833.72087093,113.7965
2016-03-03,407.35,8961.10957184,113.2482
2016-03-04,396.08,14903.33778457,112.6387
2016-03-05,403.24,7676.29322299,112.6387
2016-03-06,412.21,9910.74424239,112.6387
2016-03-07,411.18,7501.47649557,112.6219
2016-03-08,412.8,5399.36136204,112.8465
2016-03-09,415.98,7909.17586749,112.4268
