train_observations,test_observations,features,score,mse,rmse
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,nbdi,close_lag1,close_lag3,nbdi_ma_180,nbdi_ma_365,volume_ma_30,volume_ma_180",0.9311041784626215,101106.05034284345,317.9717760161166
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,volume,nbdi,close_lag1,close_lag2,close_lag3,nbdi_ma_30,nbdi_ma_180,volume_ma_30,volume_ma_90,volume_ma_180,volume_ma_365",0.9310763192827997,101146.93426838092,318.0360581260888
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,close_lag1,close_lag2,close_lag7,nbdi_ma_365,volume_ma_90",0.9310387252094692,101202.10435251567,318.1227818822721
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,close_lag1,close_lag2,close_lag7,nbdi_ma_30,nbdi_ma_90,nbdi_ma_365,volume_ma_365",0.9310346027869751,101208.15409322442,318.1322902398064
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,nbdi,close_lag1,close_lag2,nbdi_ma_90,nbdi_ma_180,nbdi_ma_365,volume_ma_30,volume_ma_180,volume_ma_365",0.9309654552130423,101309.62959544112,318.29173661193454
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,close_lag1,close_lag7,nbdi_ma_180,nbdi_ma_365,volume_ma_30",0.9309348876491811,101354.48813085946,318.36219645375525
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,close_lag1,close_lag2,close_lag3,nbdi_ma_90,nbdi_ma_180,nbdi_ma_365,volume_ma_30",0.9308426434671014,101489.85838567412,318.57472967213533
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,nbdi,close_lag1,close_lag2,close_lag3,close_lag7,volume_ma_90",0.9308095425055363,101538.4347348884,318.6509606683909
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,nbdi,close_lag1,close_lag2,close_lag3,nbdi_ma_30,nbdi_ma_90,nbdi_ma_365,volume_ma_90",0.9307984724791816,101554.68022869257,318.67645069677263
933,234,"days_elapsed,post_pandemic,pandemic_elapsed,calendar_year,calendar_month,calendar_day,calendar_weekday,volume,nbdi,close_lag1,close_lag7,nbdi_ma_30,nbdi_ma_90,nbdi_ma_180,volume_ma_365",0.9306710252473318,101741.71169086122,318.96976610779467
